id,date,open,high,low,close,volume,market_capital
1158,2004/8/3,5357.56 ,5396.40 ,5345.50 ,5367.22 ,2119968.00 ,11910347.00 
1159,2004/8/4,5338.42 ,5345.63 ,5287.78 ,5316.87 ,1938233.00 ,11798583.00 
1160,2004/8/5,5334.61 ,5442.32 ,5255.06 ,5427.61 ,3407272.00 ,12042242.00 
1161,2004/8/6,5372.23 ,5466.29 ,5372.23 ,5399.16 ,3313923.00 ,11979189.00 
1162,2004/8/9,5332.44 ,5405.79 ,5323.96 ,5399.45 ,1905277.00 ,11982796.00 
1163,2004/8/10,5407.83 ,5433.32 ,5389.30 ,5393.73 ,2251090.00 ,11970288.00 
1164,2004/8/11,5438.43 ,5438.43 ,5353.94 ,5367.34 ,2093553.00 ,11912312.00 
1165,2004/8/12,5349.53 ,5372.76 ,5329.75 ,5368.02 ,1628474.00 ,11914169.00 
1166,2004/8/13,5332.99 ,5408.76 ,5313.80 ,5389.93 ,2156912.00 ,11962713.00 
1167,2004/8/16,5380.64 ,5380.71 ,5352.01 ,5352.01 ,1396733.00 ,11873309.00 
1168,2004/8/17,5383.74 ,5391.36 ,5341.12 ,5342.49 ,1722904.00 ,11852452.00 
1169,2004/8/18,5349.24 ,5427.75 ,5299.62 ,5427.75 ,3112106.00 ,12035814.00 
1170,2004/8/19,5490.68 ,5605.04 ,5488.81 ,5602.99 ,4427576.00 ,12424540.00 
1171,2004/8/20,5601.35 ,5670.35 ,5591.03 ,5622.86 ,4133119.00 ,12468706.00 
1172,2004/8/23,5651.77 ,5674.40 ,5620.51 ,5660.97 ,3155652.00 ,12563575.00 
1173,2004/8/26,5743.39 ,5831.24 ,5743.39 ,5813.39 ,5333965.00 ,12903613.00 
1174,2004/8/27,5811.20 ,5837.61 ,5785.43 ,5797.71 ,3792600.00 ,12868308.00 
1175,2004/8/30,5791.87 ,5819.34 ,5771.03 ,5788.94 ,3114734.00 ,12854094.00 
1176,2004/8/31,5757.74 ,5864.57 ,5745.33 ,5765.54 ,4516550.00 ,12802573.00 
1177,2004/9/1,5799.82 ,5865.61 ,5799.82 ,5858.14 ,4176250.00 ,13021210.00 
1178,2004/9/2,5870.32 ,5871.60 ,5817.79 ,5852.85 ,4303670.00 ,13010299.00 
1179,2004/9/3,5859.78 ,5880.21 ,5758.77 ,5761.14 ,5042001.00 ,12806754.00 
1180,2004/9/6,5747.34 ,5784.79 ,5712.95 ,5775.99 ,3357673.00 ,12908166.00 
1181,2004/9/7,5786.19 ,5846.83 ,5786.19 ,5846.83 ,3741635.00 ,13066581.00 
1182,2004/9/8,5866.32 ,5887.49 ,5835.33 ,5846.02 ,4937659.00 ,13060678.00 
1183,2004/9/9,5853.88 ,5859.79 ,5817.42 ,5842.93 ,3615686.00 ,13054170.00 
1184,2004/9/10,5876.91 ,5898.80 ,5831.87 ,5846.19 ,3872151.00 ,13061223.00 
1185,2004/9/13,5917.61 ,5942.16 ,5888.95 ,5928.22 ,4403155.00 ,13243570.00 
1186,2004/9/14,5956.16 ,5970.29 ,5915.24 ,5919.77 ,4754315.00 ,13224547.00 
1187,2004/9/15,5910.76 ,5929.79 ,5861.45 ,5871.07 ,3148518.00 ,13114976.00 
1188,2004/9/16,5826.38 ,5895.06 ,5826.38 ,5891.05 ,3238318.00 ,13160380.00 
1189,2004/9/17,5901.79 ,5901.79 ,5814.40 ,5818.39 ,3478282.00 ,12997874.00 
1190,2004/9/20,5846.74 ,5892.36 ,5814.15 ,5864.54 ,3917782.00 ,13100623.00 
1191,2004/9/21,5901.97 ,5949.26 ,5894.52 ,5949.26 ,4464503.00 ,13289695.00 
1192,2004/9/22,5961.91 ,5970.18 ,5929.24 ,5970.18 ,3893690.00 ,13335706.00 
1193,2004/9/23,5921.68 ,5938.48 ,5907.20 ,5937.25 ,3141949.00 ,13262487.00 
1194,2004/9/24,5943.87 ,5943.87 ,5882.88 ,5892.21 ,3506391.00 ,13162210.00 
1195,2004/9/27,5872.02 ,5884.25 ,5832.37 ,5849.22 ,2734848.00 ,13095686.00 
1196,2004/9/29,5843.70 ,5877.08 ,5809.75 ,5809.75 ,3604537.00 ,13006355.00 
1197,2004/9/30,5864.05 ,5899.54 ,5827.38 ,5845.69 ,3412340.00 ,13109612.00 
1198,2004/10/1,5869.42 ,5945.35 ,5857.54 ,5945.35 ,4444714.00 ,13334076.00 
1199,2004/10/4,6020.68 ,6084.31 ,6012.92 ,6077.96 ,6543545.00 ,13631533.00 
1200,2004/10/5,6088.05 ,6111.23 ,6063.01 ,6081.01 ,4524433.00 ,13638698.00 
1201,2004/10/6,6093.22 ,6135.55 ,6060.61 ,6060.61 ,6478273.00 ,13592443.00 
1202,2004/10/7,6116.10 ,6133.96 ,6066.19 ,6103.00 ,4657453.00 ,13687699.00 
1203,2004/10/8,6083.01 ,6115.93 ,6073.41 ,6102.16 ,4366331.00 ,13682476.00 
1204,2004/10/11,6079.25 ,6096.28 ,6041.31 ,6089.28 ,4139996.00 ,13652486.00 
1205,2004/10/12,6073.47 ,6077.97 ,5979.56 ,5979.56 ,4735953.00 ,13405927.00 
1206,2004/10/13,5993.94 ,6005.99 ,5957.47 ,5963.07 ,3506513.00 ,13364042.00 
1207,2004/10/14,5924.44 ,5924.44 ,5823.58 ,5831.07 ,3853212.00 ,13071427.00 
1208,2004/10/15,5817.81 ,5863.91 ,5782.02 ,5820.82 ,3471069.00 ,13048582.00 
1209,2004/10/18,5848.15 ,5857.54 ,5772.12 ,5772.12 ,2342038.00 ,12939274.00 
1210,2004/10/19,5815.91 ,5824.14 ,5765.32 ,5807.79 ,2902099.00 ,13019088.00 
1211,2004/10/20,5790.24 ,5808.91 ,5760.41 ,5788.34 ,2562178.00 ,12975534.00 
1212,2004/10/21,5765.25 ,5849.18 ,5756.26 ,5797.24 ,3775644.00 ,12995548.00 
1213,2004/10/22,5833.63 ,5837.73 ,5768.12 ,5774.67 ,2926670.00 ,12944818.00 
1214,2004/10/26,5715.49 ,5715.49 ,5655.98 ,5662.88 ,2688341.00 ,12697393.00 
1215,2004/10/27,5663.76 ,5676.94 ,5597.80 ,5650.97 ,2646625.00 ,12666985.00 
1216,2004/10/28,5723.66 ,5735.24 ,5690.03 ,5695.56 ,3328436.00 ,12763653.00 
1217,2004/10/29,5693.11 ,5717.70 ,5673.07 ,5705.93 ,2965919.00 ,12788275.00 
1218,2004/11/1,5725.65 ,5732.70 ,5628.25 ,5656.17 ,2433591.00 ,12677903.00 
1219,2004/11/2,5670.77 ,5759.61 ,5648.29 ,5759.61 ,2581952.00 ,12909735.00 
1220,2004/11/3,5761.48 ,5862.85 ,5744.42 ,5862.85 ,3515473.00 ,13141374.00 
1221,2004/11/4,5864.12 ,5890.95 ,5831.55 ,5860.73 ,3171460.00 ,13140385.00 
1222,2004/11/5,5936.31 ,5959.88 ,5896.07 ,5931.31 ,4283967.00 ,13344337.00 
1223,2004/11/8,5937.16 ,5942.86 ,5894.98 ,5937.46 ,3074764.00 ,13397620.00 
1224,2004/11/9,5944.60 ,5947.51 ,5900.03 ,5945.20 ,2442524.00 ,13414833.00 
1225,2004/11/10,5948.38 ,5957.58 ,5899.25 ,5948.49 ,3033701.00 ,13422111.00 
1226,2004/11/11,5919.77 ,5931.37 ,5873.28 ,5874.52 ,2256050.00 ,13255144.00 
1227,2004/11/12,5901.79 ,5952.45 ,5894.39 ,5917.16 ,3214535.00 ,13351669.00 
1228,2004/11/15,5961.08 ,5974.35 ,5906.15 ,5906.69 ,2855588.00 ,13327909.00 
1229,2004/11/16,5917.42 ,5937.62 ,5894.98 ,5910.85 ,2545744.00 ,13336519.00 
1230,2004/11/17,5916.12 ,6028.68 ,5904.61 ,6028.68 ,4502308.00 ,13602346.00 
1231,2004/11/18,6063.56 ,6088.12 ,6035.36 ,6049.49 ,4297696.00 ,13649380.00 
1232,2004/11/19,6053.20 ,6065.68 ,6018.19 ,6026.55 ,3300107.00 ,13598720.00 
1233,2004/11/22,5962.32 ,5970.33 ,5838.42 ,5838.42 ,3019698.00 ,13172030.00 
1234,2004/11/23,5856.71 ,5872.88 ,5790.27 ,5851.10 ,2610053.00 ,13200777.00 
